SampleID	SampleType	CellType	SamplePool	SamplePath	CellTypeRed
ctl-Dot1l_SCcells_1	CTL	SC_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
deltaKO-Dot1l_SCcells_1	KO	SC_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
ctl-Dot1l_SCcells_2	CTL	SC_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
deltaKO-Dot1l_SCcells_2	KO	SC_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
ctl-Dot1l_SCcells_3	CTL	SC_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
deltaKO-Dot1l_SCcells_3	KO	SC_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC_spike	SC
ctl-Dot1l_SCIIcells_1	CTL	SCII_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
deltaKO-Dot1l_SCIIcells_1	KO	SCII_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
ctl-Dot1l_SCIIcells_2	CTL	SCII_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
deltaKO-Dot1l_SCIIcells_2	KO	SCII_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
ctl-Dot1l_SCIIcells_3	CTL	SCII_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
deltaKO-Dot1l_SCIIcells_3	KO	SCII_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII_spike	SCII
Ctl-RS-550K-20180502	CTL	RS_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
KO-RS-560K-20180718	KO	RS_spike	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
Ctl-RS-650K-20180807	CTL	RS_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
KO-RS-600K-20180724	KO	RS_spike	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
Ctl-RS-650K-pool	CTL	RS_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
KO-RS-650K-pool	KO	RS_spike	P3	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS_spike	RS
Ctl-pool1-SCcells	CTL	SC	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC	SC
DeltaKO-pool1-SCcells	KO	SC	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC	SC
Ctl2-SCcells	CTL	SC	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC	SC
DeltaKO-pool2-SCcells	KO	SC	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SC	SC
Ctl-pool1-SCIIcells	CTL	SCII	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII	SCII
DeltaKO-pool1-SCIIcells	KO	SCII	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII	SCII
Ctl2-SCIIcells	CTL	SCII	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII	SCII
DeltaKO-pool2-SCIIcells	KO	SCII	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/SCII	SCII
Ctl-pool1-RScells	CTL	RS	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS	RS
DeltaKO-pool1-RScells	KO	RS	P1	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS	RS
Ctl2-RScells	CTL	RS	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS	RS
DeltaKO-pool2-RScells	KO	RS	P2	/home/mcoulee/Documents/Mouse/RNAseq/Samples/RS	RS
